""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"
"Mean"	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977
"Median"	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977
"Mode"	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977
"Geo_mean"	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558
"Geo_mean2"	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558	20582.8761032558
"Geo_mean3"	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977
"Har_mean"	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977
"Trim_mean_5"	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977
"Trim_mean_10"	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977
"Trim_mean_20"	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977
"IQ_mean"	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977
"Tri_mean"	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977	977
"Mn_AD_mn"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Mn_AD_md"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Md_AD_mn"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Md_AD_md"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MAD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Max_AD_mn"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
