"X023140000001"	"X023140000002"	"X023140000003"	"X023146000105"	"X023146000106"
"Mean"	-179.883635602679	-177.014836866205	-206.976219754066	-230.344161570189	-264.245068252814
"Median"	-64	-16	-35	-54	-86
"Mode"	1	1	46	-1024	-1024
"Geo_mean"	926.628687470799	857.393440561053	871.273466780394	931.623315779225	1114.22010954993
"Geo_mean2"	0.0756571715606073	0.257266315430032	0.131771118443715	0.0672065998667293	0.0359009203396297
"Geo_mean3"	625.75697086884	610.790224479246	546.033978777173	528.566497380771	496.738388953852
"Har_mean"	213.455006935651	84.7883222238082	145.053639123762	144.833921942217	240.415740981995
"Trim_mean_5"	-181.430832941729	-179.396949446898	-212.713814484645	-228.602916371403	-266.032644925904
"Trim_mean_10"	-172.807043650794	-169.864743155462	-206.174093172903	-219.40241679748	-259.578200404136
"Trim_mean_20"	-145.405500139509	-141.562564447433	-178.274977687426	-194.785879368992	-238.001992458078
"IQ_mean"	-61.0391183035714	-30.6733854577625	-53.2717969059897	-76.6783797621982	-126.704309127477
"Tri_mean"	-117.5	-100.75	-307	-343	-435
"Mn_AD_mn"	296.181752599989	325.526823072923	351.244928216232	346.902996444696	369.771837001216
"Mn_AD_md"	262.121721540179	279.941035113518	299.639369297898	294.742796188309	316.024733621464
"Md_AD_mn"	203.883635602679	232.014836866205	249.976219754066	268.344161570189	299.245068252814
"Md_AD_md"	105	97	91	108	128
"MAD"	155.673	143.8122	134.9166	160.1208	189.7728
"Max_AD_mn"	1845.88363560268	1846.01483686621	1763.97621975407	1698.34416157019	1713.24506825281
"Max_AD_md"	1730	1685	1592	1522	1535
"RMS"	434.486263964948	450.248183563247	480.924049566878	473.615471334433	503.396124092868
"Min"	-1023	-1023	-1023	-1024	-1024
"Max"	1666	1669	1557	1468	1449
"Quartiles.25%"	-171	-185.5	-579	-632	-784
"Quartiles.75%"	40	59	42	35	25
"IQR"	211	244.5	621	667	809
"Low_notch"	-487.5	-552.25	-1510.5	-1632.5	-1997.5
"High_notch"	145.5	181.25	352.5	368.5	429.5
"Range"	2689	2692	2580	2492	2473
"Deciles.10%"	-913	-902	-931	-934	-959
"Deciles.20%"	-590.199999999999	-755	-824	-835.199999999997	-879
"Deciles.30%"	-140	-126	-133	-171	-309
"Deciles.40%"	-101	-71	-89	-101	-123
"Deciles.50%"	-64	-16	-35	-54	-86
"Deciles.60%"	-19	19	6	-13	-34
"Deciles.70%"	21	46	31	19	9
"Deciles.80%"	60	73	54	52	40
"Deciles.90%"	117	115	86	105	81
"Variance"	156422.373448354	171391.223411533	188450.654716677	171254.805724868	183584.165626921
"SD"	395.502684502083	413.994231133156	434.109035516052	413.82944037957	428.467228183115
"Skew"	-0.767948162443181	-0.684391482995949	-0.529570277950073	-0.796343193436096	-0.614601688034788
"Kurtosis"	0.416756931545097	0.185927782173054	-0.0414353301554535	-0.568212889369978	-0.769050626869726
"Energy"	13531629517	16956395588	23323076016	23657024443	23687534216
"Uniformity"	0.0017674800327846	0.00194891021147761	0.0021812249142113	0.00183733442321428	0.00185726058116688
"Entropy"	0.0121005677016654	0.0155296823726902	0.0136558414822929	0.0687593693199764	0.0297573602524151
"volume"	44590.6944	43721.86896	59293.92	64597.3125	44915.218
"v_ratio_to_all"	1	1	1	1	1
"surface"	451673.856	502245.792	623056.56	693330.25	575998.375
"s_ratio_to_all"	1	1	1	1	1
"surface_volume_r"	10.1293299437831	11.4872900895314	10.5079333597779	10.7331129294272	12.8241251105583
"compactness1"	4.27352252163445	3.90402788274292	4.58581902203793	4.65242536064855	3.66047745836505
"compactness2"	2.44042791940618e-06	1.70647877028787e-06	1.64395634510606e-06	1.41599208857824e-06	1.19392108678583e-06
"spher_dis"	74.2753439728784	83.6821898847861	84.7298764389941	89.0525563850573	94.2630437724223
"spher"	0.0134634179596011	0.0119499740790341	0.0118022124193702	0.0112293239025735	0.0106086113919076
"fractal_bc_d"	1.95777341661455	1.98493516103499	2.01856835021113	2.03697762716244	1.94458669484382
"fractal_i_d"	1.97554451926935	2.00319184529566	2.03560314276389	2.04862818929248	2.01118469915161
"fractal_c_d"	1.97890095804611	2.00576415456285	2.03711453465928	2.04863381495079	2.02356690518857
