"corona1"	"corona2"	"corona3"	"corona4"	"corona5"	"corona6"	"corona7"	"corona8"	"corona9"	"corona10"	"control1"	"control2"	"control3"	"control5"	"control6"	"control7"	"control9"	"control10"
"Mean"	-188.88985711057	-177.715639078388	-159.170182998489	-258.840309358978	-195.139416679392	-187.198238744618	-170.203688725844	-220.096825149887	-193.428828330336	-168.27969751702	2.88528415661655	11.8851659140777	220.714285714286	3.46713940799605	3.13138657520823	1.14921256985267	3.505296733487	2.16331870458249
"Median"	-52	-25	-5	-47	-5	-21	-49	-18	-40	-24	2	2	220	2	2	1	2	1
"Mode"	1	48	45	58	44	1	1	1	44	1	1	1	235	1	1	1	1	1
"Geo_mean"	792.545561974899	903.388505140574	873.165453568267	1164.80701574618	839.204766395426	914.700914598787	923.821320302599	927.879367882885	895.804509770077	724.182402199634	2.80444971779602	5.20382687030676	2395.55752029978	2.98496275436061	3.07754291689917	1.14413989880131	3.41483291488859	2.16812343260645
"Geo_mean2"	0.117873999824573	0.196458542371909	0.396867079899354	0.118339092465758	0.305698801814565	0.221844374330411	0.107620706712342	0.211691082694877	0.14696659205993	0.185749618446006	2.80444971779602	5.20382687030676	2395.55752029978	2.98496275436061	3.07754291689917	1.14413989880131	3.41483291488859	2.16812343260645
"Geo_mean3"	563.319972234801	595.95945018995	604.134289121594	452.820302708431	566.640268557889	584.239227145997	619.861434814879	480.294373197469	563.69586262375	636.007742267957	2.04373386487958	3.13701905290229	220.001761953413	2.13404007569873	2.17970292959304	1.09782886288458	2.34262911528102	1.70984081306286
"Har_mean"	84.5102496485612	211.215200514429	148.1534052413	116.313930415762	97.7960812822916	90.8796566171237	174.64535911978	79.732196702287	134.147017616508	76.0233751731401	1.61975568128013	1.93907338291818	219.293045724937	1.67800302194415	1.71005095458262	1.06915291180657	1.76603107259297	1.45614736647846
"Trim_mean_5"	-192.384364261168	-182.687965748042	-165.452697926484	-264.775772174284	-198.356368688144	-190.845069088038	-177.549879899054	-224.2481199219	-197.083129477547	-172.279458465653	2.5643204938701	6.74712549895815	220.714285714286	2.64663504832803	2.74048478597215	1.1034298372928	3.10660458277172	1.97986904866232
"Trim_mean_10"	-181.849884204358	-173.143645776723	-156.321436343852	-259.346995590744	-189.956540708243	-180.740269698131	-167.802330059696	-215.481856742059	-188.79568719068	-162.32904399603	2.40711761736497	4.93801756919693	220.714285714286	2.48927990536744	2.58010147420682	1.08143191163428	2.89652585560183	1.88557345420427
"Trim_mean_20"	-149.298521518034	-144.201522074913	-125.490241684446	-237.052011296571	-161.646783737354	-151.999624955463	-139.185243356441	-187.098158591495	-158.896666205561	-132.598791773141	2.20234899328859	3.33024281902604	219.833333333333	2.28732682208122	2.36686999338576	1.0291156462585	2.62250807601641	1.75699100572363
"IQ_mean"	-46.9460097433579	-37.7369870771765	-19.8076836980245	-128.771289537713	-32.5205924697875	-36.1609409223199	-53.6673887926054	-52.3581600172319	-44.8662092624357	-36.7494641155923	1.85800429539072	2.59111759468312	221	1.96574274742405	2.04660369223533	1	2.21045769893374	1.52049190076354
"Tri_mean"	-98.5	-118.5	-93.5	-439.5	-275	-126	-118	-360.5	-141.5	-90.5	1.5	1.5	211.25	1.5	1.5	1	1.5	1
"Mn_AD_mn"	314.80755081559	326.761768600851	326.573025088374	402.624854805189	350.606848891226	334.991229494963	303.626503497055	372.448375271708	330.820208298981	300.273792864357	1.99515639277467	15.9046832370748	15.5714285714286	2.73689620125444	2.17825855565993	0.261649910209762	2.60372050225179	1.24206016611434
"Mn_AD_md"	268.661610707918	284.485648088557	283.159018411775	346.713640181908	293.717283654371	288.841291987338	272.57235910916	312.079640510752	284.835744916309	260.315463549213	1.74725342805221	10.5557783731358	15.5714285714286	2.26058439953613	1.89901028907398	0.149212569852674	2.2610882168052	1.16331870458249
"Md_AD_mn"	222.88985711057	231.715639078388	221.170182998489	318.840309358978	249.139416679392	245.198238744618	206.203688725844	275.096825149887	238.428828330336	207.27969751702	1.88528415661655	9.88516591407766	14.7857142857143	2.46713940799605	2.13138657520823	0.149212569852674	2.505296733487	1.16331870458249
"Md_AD_md"	93	105	96	113	82	102	110	90	95	85	1	1	15.5	1	1	0	1	0
"MAD"	137.8818	155.673	142.3296	167.5338	121.5732	151.2252	163.086	133.434	140.847	126.021	1.4826	1.4826	22.9803	1.4826	1.4826	0	1.4826	0
"Max_AD_mn"	2170.88985711057	2071.71563907839	2179.17018299849	2009.84030935898	1871.13941667939	2216.19823874462	2408.20368872584	3273.09682514989	2012.42882833034	1914.27969751702	129.114715843383	243.114834085922	34.2857142857143	249.532860592004	251.868613424792	50.8507874301473	156.494703266513	194.836681295418
"Max_AD_md"	2034	1919	2025	1798	1681	2050	2287	3071	1859	1770	130	253	35	251	253	51	158	196
"RMS"	452.009088339314	457.711054989607	458.164551502893	527.526261589478	471.203924445893	463.514938927861	448.26558900748	498.125681249675	461.288531097832	430.415493739546	4.41584068263481	38.2450612964038	221.427834100155	11.5459239195774	5.82946779367309	1.35586770767971	5.44596985788137	3.03954815898469
"Min"	-1020	-1022	-1022	-1020	-1020	-1022	-1022	-1020	-1020	-1020	1	1	197	1	1	1	1	1
"Max"	1982	1894	2020	1751	1676	2029	2238	3053	1819	1746	132	255	255	253	255	52	160	197
"Quartiles.25%"	-145	-212	-182	-832	-545	-231	-187	-703	-243	-157	1	1	202.5	1	1	1	1	1
"Quartiles.75%"	40	59	68	48	53	60	49	52	47	44	3	5	235	4	4	1	4	3
"IQR"	185	271	250	880	598	291	236	755	290	201	2	4	32.5	3	3	0	3	2
"Low_notch"	-422.5	-618.5	-557	-2152	-1442	-667.5	-541	-1835.5	-678	-458.5	-2	-5	153.75	-3.5	-3.5	1	-3.5	-2
"High_notch"	132.5	194.5	193	488	352	205.5	167	429.5	192	144.5	4	7	251.25	5.5	5.5	1	5.5	4
"Range"	3002	2916	3042	2771	2696	3051	3260	4073	2839	2766	131	254	58	252	254	51	159	196
"Deciles.10%"	-951	-925	-936	-982	-917	-930	-910	-985	-948	-848	1	1	198.3	1	1	1	1	1
"Deciles.20%"	-729	-736	-692	-876	-811	-784	-637	-868	-762	-643	1	1	200.2	1	1	1	1	1
"Deciles.30%"	-121	-138	-118	-668	-122	-137	-145	-134	-129	-121	1	1	206.4	1	1	1	1	1
"Deciles.40%"	-92	-74	-52	-105	-63	-78	-94	-78	-92	-80	1	2	216.4	2	2	1	2	1
"Deciles.50%"	-52	-25	-5	-47	-5	-21	-49	-18	-40	-24	2	2	220	2	2	1	2	1
"Deciles.60%"	1	11	27	10	24	17	-7	20	8	11	2	3	231.6	2	2	1	3	2
"Deciles.70%"	30	43	54	37	44	47	30	43	36	34	3	4	235	3	3	1	4	2
"Deciles.80%"	52	76	83	59	63	75	70	62	58	54	4	7	235.4	4	4	1	5	3
"Deciles.90%"	80	123	129	89	93	116	125	90	91	84	6	15	236.7	6	6	2	8	4
"Variance"	168634.955234447	177918.851599306	184582.191534019	211288.711032674	183955.752925644	179805.615495578	171975.226459522	199688.971561089	175374.823283235	156940.998134324	11.1750150442972	1321.43017106466	339.758241758242	121.289609324462	24.1775867121316	0.517725283523218	17.3718869614233	4.55895941423255
"SD"	410.651866225452	421.804281153364	429.630296340958	459.661517894063	428.90063292754	424.03492249528	414.69895883583	446.865719832131	418.777773148522	396.157794488919	3.34290518027318	36.3514810023561	18.4325321580688	11.0131561926844	4.91707094845413	0.719531294332094	4.16795956811283	2.13517198703818
"Skew"	-0.682849063913389	-0.531701454487865	-0.496455076171678	-0.429998107608157	-0.632851466140805	-0.57613000421187	-0.336076132470816	-0.61762670505596	-0.629668043636649	-0.544168399083561	7.18334956757424	5.12881311551341	0.122178784859848	17.5024269677216	22.4252034682599	47.5117192306766	5.4183751085212	16.9509824327112
"Kurtosis"	0.604164060809942	0.580541284343717	0.839958543167631	-0.715008810703076	-0.0936697998339167	0.436491593296797	1.52217362396087	-0.249047908545576	0.220896400254918	0.92115627834549	148.908671722939	27.389859444863	-1.38316550244153	330.537976631714	880.802793985446	3228.30537135203	87.4501656189507	1097.97505315894
"Energy"	16271833502	16276009152	15003867118	19214394072	20356442196	14320996395	13912824847	20734419865	15382380104	18667656968	944251	735952739	686424	7012153	1733967	25331	1273866	776812
"Uniformity"	0.00244892445765315	0.00174842634355733	0.00190005063902665	0.00218877568168941	0.00240615187128911	0.00188223678409336	0.00165082269902797	0.00247391002526806	0.00216367380726111	0.00230439978328022	0.252966266418485	0.171889556003447	0.0816326530612245	0.234881218197807	0.225251117212288	0.780203501784762	0.208029062190531	0.325868138796259
"Entropy"	0.0125110296036284	0.0104364386857944	0.0108552500409249	0.0169345297646616	0.0100881619496477	0.00949597037353649	0.00956558873149939	0.0179202241012489	0.0101669951269414	0.0114857587450294	0.523341046871114	0.52859310592814	0.271953923004115	0.529147627155103	0.530247139551672	0.166350531353188	0.530542884547297	0.499886705991893
"volume"	52253.1162	53885.784	58710.3864	31926.8704	42393.7568	57751.6248	34902.8758	43319.0592	33426.896	46594.1984	134347.5456	232657.4848	12.9472	145936.2144	141563.76	38228.4576	119163.2544	233274.3264
"v_ratio_to_all"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"surface"	413457.2	663115.92	635570.88	322909.76	428430.08	600665.82	333642.78	404151.28	337988.56	471036.4	3397589.76	1865133.6	180.16	3652165.92	3616726.08	602186.88	3059936.16	5412299.52
"s_ratio_to_all"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"surface_volume_r"	7.91258455127313	12.3059529021606	10.8255271166125	10.1140436238937	10.1059710754391	10.4008471117509	9.55917735580975	9.32964121252199	10.1112756625682	10.1093358438376	25.2895558666611	8.0166498903026	13.9149777558082	25.0257685182219	25.5483895030762	15.7523195495075	25.6785212472344	23.2014367098393
"compactness1"	5.31190402462014	3.99797094164127	4.48088717013348	3.82701911802968	4.20862597325607	4.57685679935	4.09353449775941	4.47103538833951	3.88674856231327	4.3423077076075	3.35382842311834	8.66300958936247	0.228996408793722	3.47179820036723	3.38974275317027	3.02452826035845	3.18976857581058	4.26943879977781
"compactness2"	0.00000436903060261956	0.00000112624382213573	0.00000151841427549063	0.00000342390382081492	0.00000258473674400353	0.00000174053206604504	0.00000370962153092638	0.00000321498188205258	0.00000327294322139165	0.00000234937668868616	0.0000000520473988292234	0.00000094353191175589	0.00324211912047421	0.0000000494455290014435	0.0000000479081828334944	0.000000756888763222361	0.000000056053145283624	0.0000000388186826766272
"spher_dis"	61.1699752009827	96.1145623498188	87.0034699628293	66.3477420917415	72.8664974658682	83.1328476327893	64.5986534789367	67.7548658996393	67.352518973029	75.2227341643195	267.834791070962	101.956394467406	6.75652950335313	272.45262138202	275.336275833089	109.729309782998	261.296346681125	295.338276084377
